설치장소,설치목적,촬영범위,촬영시간,녹화물보관기간,관리책임자,카메라번호,검색용주소,latitude,longitude,좌표변환상태
경상남도 창원시 의창구 신월동 24-5_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 신월동 24-5,,,확인 필요
경상남도 창원시 의창구 신월동 24-5_3,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,3,경상남도 창원시 의창구 신월동 24-5,,,확인 필요
"경상남도 창원시 의창구 상남로192번길 23, (신월동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 의창구 상남로192번길 23,,,확인 필요
"경상남도 창원시 의창구 상남로184번길 37, (신월동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 의창구 상남로184번길 37,,,확인 필요
"경상남도 창원시 의창구 용호로 112, (용호동)_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 의창구 용호로 112,,,확인 필요
"경상남도 창원시 의창구 용호로 112, (용호동)_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 용호로 112,,,확인 필요
"경상남도 창원시 의창구 용호로 112, (용호동)_3",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,3,경상남도 창원시 의창구 용호로 112,,,확인 필요
"경상남도 창원시 의창구 외동반림로262번길 14, (용호동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 의창구 외동반림로262번길 14,,,확인 필요
경상남도 창원시 의창구 외동반림로 266번길 25-9(용호동)_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 의창구 외동반림로 266번길 25-9,,,확인 필요
경상남도 창원시 의창구 외동반림로 266번길 25-9(용호동)_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 외동반림로 266번길 25-9,,,확인 필요
경상남도 창원시 의창구 신월동 43(해오름),방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 의창구 신월동 43,,,확인 필요
"경상남도 창원시 성산구 원이대로331번길 51, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 원이대로331번길 51,35.242957164079,128.659669407616,성공
"경상남도 창원시 성산구 창원천로144번길 1, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 창원천로144번길 1,35.2423319640744,128.654867860179,성공
"경상남도 창원시 성산구 창원천로206번길 14, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 창원천로206번길 14,35.2431462731871,128.661197151899,성공
"경상남도 창원시 성산구 충혼로175번길 27-1, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 충혼로175번길 27-1,35.241043138266,128.663024571242,성공
"경상남도 창원시 성산구 반지로4번길 29-23, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 반지로4번길 29-23,35.238679656518,128.662744972181,성공
"경상남도 창원시 성산구 창원천로166번길 13, (반지동)_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 창원천로166번길 13,35.2421244732734,128.657306321159,성공
"경상남도 창원시 성산구 창원천로166번길 13, (반지동)_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 창원천로166번길 13,35.2421244732734,128.657306321159,성공
"경상남도 창원시 성산구 반지로15번길 16, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 반지로15번길 16,35.2410253065028,128.658788909539,성공
"경상남도 창원시 성산구 창원천로196번길 29-1, (반지동)_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 창원천로196번길 29-1,35.2414969580103,128.660796165078,성공
"경상남도 창원시 성산구 창원천로196번길 29-1, (반지동)_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 창원천로196번길 29-1,35.2414969580103,128.660796165078,성공
"경상남도 창원시 성산구 반지로16번길 1, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 반지로16번길 1,35.2400988163487,128.660289698069,성공
"경상남도 창원시 성산구 창원천로 242번길 1, (반지동)",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 창원천로 242번길 1,35.2452568088733,128.665034869963,성공
경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 원이대로 331번길 6경상남도 창원시 성산구,35.2408175355204,128.655824314193,성공
