경로당명,도로명주소
내산경로당,경상남도 창원시 의창구 북면 외산로157번길 5-4(북면)
대천경로당,경상남도 창원시 의창구 북면 천주로 606(북면)
대한경로당,경상남도 창원시 의창구 북면 구룡로 79-15(북면)
대호아파트경로당,"경상남도 창원시 의창구 북면 천주로 1053(북면, 대호아파트)"
동전경로당,경상남도 창원시 의창구 북면 동전무동길 30(북면)
마산경로당,경상남도 창원시 의창구 북면 마산길 48(북면)
마산부인경로당,경상남도 창원시 의창구 북면 마산길 49(북면)
명촌경로당,경상남도 창원시 의창구 북면 외산로 349(북면)
명호경로당,경상남도 창원시 의창구 북면 천주로759번길 15-9(북면)
무동경로당,경상남도 창원시 의창구 북면 동전무동안길 20-5(북면)
무동코아루파크아파트경로당,경상남도 창원시 의창구 북면 무동로 213
무동휴먼빌1단지아파트경로당,"경상남도 창원시 의창구 북면 동곡로 33(북면, 무동휴먼빌1단지)"
무동휴먼빌2단지아파트경로당,"경상남도 창원시 의창구 북면 동곡로 35(북면, 무동휴먼빌2단지)"
무동휴먼빌3단지아파트경로당,경상남도 창원시 의창구 북면 무동로226번길 19
바깥신천경로당,경상남도 창원시 의창구 북면 천주로 1398-12(북면)
북면갈전경로당,경상남도 창원시 의창구 북면 구룡로380번길 47-1(북면)
북면경로당,경상남도 창원시 의창구 북면 천주로1128번길 8(북면)
상천(봉촌)경로당,경상남도 창원시 의창구 북면 온천로 648-22(북면)
센텀파라디아아파트경로당,경상남도 창원시 의창구 북면 무동서로 24
소라경로당,경상남도 창원시 의창구 북면 백월로167번길 14
송촌경로당,경상남도 창원시 의창구 북면 무릉산길 239-3(북면)
승산경로당,경상남도 창원시 의창구 북면 구룡로 339(북면)
신기경로당,경상남도 창원시 의창구 북면 천주로 1337(북면)
신동경로당,경상남도 창원시 의창구 북면 천주로862번길 46-1(북면)
신리경로당,경상남도 창원시 의창구 북면 신리길35번길 2(북면)
신리부녀경로당,경상남도 창원시 의창구 북면 신리길 17(북면)
신목경로당,경상남도 창원시 의창구 북면 천주로1263번길 2(북면)
신우경로당,"경상남도 창원시 의창구 북면 신촌본포로 8(북면, 신우아파트)"
신음경로당,경상남도 창원시 의창구 북면 무릉산길 2(북면)
신천경로당,경상남도 창원시 의창구 북면 하천로 245(북면)
신한1차아파트경로당,"경상남도 창원시 의창구 북면 천주로 1104(북면, 신한그린파크맨션)"
신한2차아파트경로당,"경상남도 창원시 의창구 북면 천주로 1103(북면, 신한2차아파트)"
양지경로당,경상남도 창원시 의창구 북면 구룡로314번길 1(북면)
양촌경로당,경상남도 창원시 의창구 북면 운무로783번길 60(북면)
연동경로당,경상남도 창원시 의창구 북면 신촌본포로 186(북면)
온천남자경로당,경상남도 창원시 의창구 북면 천주로1128번길 8(북면)
온천부녀경로당,경상남도 창원시 의창구 북면 천주로1128번길 8(북면)
외감경로당,경상남도 창원시 의창구 북면 달천길52번길 28(북면)
외감부인경로당,경상남도 창원시 의창구 북면 달천길52번길 28(북면)
월계경로당,경상남도 창원시 의창구 북면 월계길9번길 87(북면)
월백경로당,경상남도 창원시 의창구 북면 백월로167번길 14
월백부녀경로당,경상남도 창원시 의창구 북면 백월로167번길 14
월촌경로당,경상남도 창원시 의창구 북면 백월로87번월촌길 54
중리경로당,경상남도 창원시 의창구 북면 단내로 701-14
중방경로당,경상남도 창원시 의창구 북면 중방길 3-22
중촌경로당,경상남도 창원시 의창구 북면 하천로86번길 22-1
지개경로당,경상남도 창원시 의창구 북면 구룡로38번길 39
천수림아파트경로당,"경상남도 창원시 의창구 북면 감계로 222, 103동 지하1층 (북면, 천수림)"
청우아파트경로당,경상남도 창원시 의창구 북면 천주로1083번길 10-1
초소경로당,경상남도 창원시 의창구 북면 외산로 207
춘광1차아파트경로당,경상남도 창원시 의창구 북면 신촌본포로 14(춘광아파트)
춘광2차아파트경로당,경상남도 창원시 의창구 북면 신촌본포로 12-13(춘광아파트)
춘광마을경로당,경상남도 창원시 의창구 북면 신촌본포로 28
하천(대촌)경로당,경상남도 창원시 의창구 북면 하천로 129
현도경로당,경상남도 창원시 의창구 북면 외산로117번길 9
현천노인당,경상남도 창원시 의창구 북면 단내로591번길 8-10
화천경로당,경상남도 창원시 의창구 북면 천주로480번길 10-3
화천부녀경로당,경상남도 창원시 의창구 북면 천주로480번길 10-3
동전월드메르디앙아파트경로당,경상남도 창원시 의창구 북면 동전로224번길 3
신전경로당,경상남도 창원시 의창구 대산면 대산북로 279번길 25-1 (1층)
상리경로당,경상남도 창원시 의창구 대산면 갈전로 61
갈전경로당,경상남도 창원시 의창구 대산면 갈전로 80번길 11
갈전부인경로당,경상남도 창원시 의창구 대산면 대산북로 385번길 10
평리경로당,경상남도 창원시 의창구 대산면 대산북로 385번길 10
송정경로당,경상남도 창원시 의창구 대산면 죽송로 135
유목경로당,경상남도 창원시 의창구 대산면 갈전로 90번길 2
일동경로당,경상남도 창원시 의창구 대산면 갈전로 120
일동부인경로당,경상남도 창원시 의창구 대산면 갈전로 120
구산경로당,경상남도 창원시 의창구 대산면 대산북로 524번길 118
당리경로당,경상남도 창원시 의창구 대산면 대산북로 495번길 20
신성경로당,경상남도 창원시 의창구 대산북로524번길 8-17
수성경로당,경상남도 창원시 의창구 대산면 대산북로 524번길 15-11
북모산경로당,경상남도 창원시 의창구 대산면 대산북로 747
남모산경로당,경상남도 창원시 의창구 대산면 모산길 28
송등경로당,경상남도 창원시 의창구 대산면 진산대로 528번길 30
북가술경로당,경상남도 창원시 의창구 대산면 가술길 34번길 8
해강그린A경로당,경상남도 창원시 의창구 대산면 진산대로 439
남가술경로당,경상남도 창원시 의창구 대산면 가술길 20
남가술부인경로당,경상남도 창원시 의창구 대산면 가술길 5
가촌경로당,경상남도 창원시 의창구 대산면 봉강가술로 471번길 31-8
