경로당명,도로명주소
한양아파트경로당,"경상남도 창원시  성산구 정동로 162번길 69(남산동,한양아파트)"
남산효성해링턴플레이스경로당,경상남도 창원시  성산구 정동로162번길 78(남산동)
 양곡경로당 ,경상남도 창원시  성산구 양곡길106번길 1-12(양곡동)
 동성1차경로당 ,"경상남도 창원시  성산구 신촌로 95(신촌동,동성1차아파트)"
 동성2차경로당 ,"경상남도 창원시  성산구 신촌로 63(신촌동,동성2차아파트)"
 동성빌라2차경로당 ,"경상남도 창원시  성산구 신촌로 43(신촌동,동성빌라2차)"
 성원아파트경로당 ,"경상남도 창원시  성산구 신촌로 123(신촌동,성원아파트)"
 귀산경로당 ,경상남도 창원시  성산구 귀산로58번길 14 (귀산동)
 석교경로당 ,경상남도 창원시  성산구 삼귀로466번길 8 (귀산동)
 갯마을경로당 ,경상남도 창원시  성산구 삼귀로 375-11 (귀산동)
 용호마을경로당 ,경상남도 창원시  성산구 삼귀로 185-9 (귀곡동)
 동부산아이존빌경로당 ,"경상남도 창원시  성산구 신촌로 94(신촌동,동부산아이존빌아파트)"
 신촌경로당 ,경상남도 창원시  성산구  양곡길 53(신촌동)
 동원로얄듀크경로당 ,경상남도 창원시  성산구 신촌로 130(신촌동)
 상남남성경로당 ,경상남도 창원시 마산합포구 합포서7길 10 (상남동)
 상남여성경로당 ,경상남도 창원시 마산합포구 합포서7길 10 (상남동)
 용마남성경로당 ,경상남도 창원시 마산합포구 회원천북길 461 (산호동)
 용마여성경로당 ,경상남도 창원시 마산합포구 회원천북길 461 (산호동)
 숲골남성경로당 ,경상남도 창원시 마산합포구 합포북20길 23 (산호동)
 숲골여성경로당 ,경상남도 창원시 마산합포구 합포북20길 23 (산호동)
 국제비치경로당 ,"경상남도 창원시 마산합포구 합포동5길 22(산호동,국제비치타운)"
 무학맨션경로당 ,"경상남도 창원시 마산합포구 회원천북길 545(산호동,무학맨션)"
 무학경로당 ,"경상남도 창원시 마산합포구 회원천북길 545(산호동,무학맨션)"
 진웅네스빌경로당 ,"경상남도 창원시 마산합포구 합포남2길 11(산호동, 진웅네스빌)"
가포제2남성경로당,경상남도 창원시 마산합포구 가포해안길 21(가포동)
가포제2여성경로당,경상남도 창원시 마산합포구 가포해안길 21(가포동)
건화맨션경로당,"경상남도 창원시 마산합포구 가포로  176-45  (가포동, 건화그린맨션)"
가포LH아파트1단지경로당,경상남도 창원시 마산합포구 가포본동5길 37
 마창대교반도유보라아이비파크경로당 ,경상남도 창원시 마산합포구 가포본동1길 18
가포안단테아파트경로당,경상남도 창원시  마산합포구 가포본동5길 23
가포금호어울림NHF아파트경로당,경상남도 창원시 마산합포구 가포본동1길 50
중앙남성경로당,경상남도 창원시 마산합포구 중앙남5길 40 (신흥동)
중앙여성경로당,경상남도 창원시 마산합포구 중앙남5길 40 (신흥동)
신월남성경로당,경상남도 창원시 마산합포구 반월서7길 52 (신월동)
신월여성경로당,경상남도 창원시 마산합포구  반월서7길 52 (신월동)
반월시장경로당,경상남도 창원시 마산합포구 반월북2길 13-1 (반월동)
반월월포남성경로당,경상남도 창원시 마산합포구 반월동5길 9-1(중앙동1가)
반월월포여성경로당,경상남도 창원시 마산합포구 반월동5길 9-1(중앙동1가)
벽산블루밍경로당,경상남도 창원시 마산합포구 3.15대로 154 (월포동)
월포경동메르빌남자경로당,경상남도 창원시 마산합포구 중앙동3길 22 (월포동)
월포경동메르빌여성경로당,경상남도 창원시 마산합포구 중앙동3길 22 (월포동)
중앙경동메르빌아파트경로당,"경상남도 창원시 마산합포구 중앙동3길 10 (중앙동2가,경동메르빌2차아파트)"
우방(아)경로당,"경상남도 창원시 마산합포구 중앙동3길 17 (중앙동2가,중앙우방아파트)"
신우희가로베스트경로당,"경상남도 창원시 마산합포구 중앙북1길 19 (중앙동3가,신우희가로베스트)"
신한토탈아파트경로당,"경상남도 창원시 마산합포구 장군천로 38 (신흥동,신한토탈아파트)"
대동한마음아파트경로당,"경상남도 창원시 마산합포구 중앙남8길 55 (완월동,대동한마음아파트)"
혜성미경로당,경상남도 창원시 마산합포구 중앙북2길 17 (혜성미아파트)
대창경로당,경상남도 창원시 마산합포구 문화서6길 32 (대창동)
대창여성경로당,경상남도 창원시 마산합포구 문화서6길 32 (대창동)
당산경로당,경상남도 창원시 마산합포구 문화남9길 11 (화영동)
당산여성경로당,경상남도 창원시 마산합포구 문화남9길 11 (화영동)
창포경로당,경상남도 창원시 마산합포구 문화동10길 9-1 (창포동2가)
창포여성경로당,경상남도 창원시 마산합포구 문화동10길 9-1 (창포동2가)
월남경로당,경상남도 창원시 마산합포구 문화북5길 10-1 (평화동)
월남여성경로당,경상남도 창원시 마산합포구 문화북5길 10-1 (평화동)
창포동성아파트경로당,"경상남도 창원시 마산합포구 문화동7길 25 (창포동1가, 동성아파트)"
창포경남맨션경로당,"경상남도 창원시 마산합포구 문화동14길 68 (창포동2가, 창포경남아파트)"
경민아파트경로당,"경상남도 창원시 마산합포구 문화동14길 46 (창포동3가,창포경민아파트)"
창포한백아파트경로당,"경상남도 창원시 마산합포구 문화동15길 95 (창포동1가, 창포한백아파트)"
월영한백아파트경로당,"경상남도 창원시 마산합포구 문화서2길 5 (월영동, 월영한백아파트)"
 귀정경로당 ,경상남도 창원시 마산합포구 진북면 귀정길 14
 금산경로당 ,경상남도 창원시 마산합포구 진북면 학동로 403
 내추경로당 ,경상남도 창원시 마산합포구 진북면 내추길 5
대티경로당,경상남도 창원시 마산합포구 진북면 대티1길 103-11
대평경로당,경상남도 창원시 마산합포구 진북면 대평길 46
대현경로당,경상남도 창원시 마산합포구 진북면 대현길 9
덕곡경로당,경상남도 창원시 마산합포구 진북면 덕곡덕기길 305-1
덕기경로당,경상남도 창원시 마산합포구 진북면 덕곡덕기길 87
동삼경로당,경상남도 창원시 마산합포구 진북면 동삼길 82
동촌남성경로당,경상남도 창원시 마산합포구 진북면 지산5길 59
동촌여성경로당,경상남도 창원시 마산합포구 진북면 지산5길 59
망곡경로당,경상남도 창원시 마산합포구 진북면 망곡길 150
부산경로당,경상남도 창원시 마산합포구 진북면 부산1길 83
부평경로당,경상남도 창원시 마산합포구 진북면 부평1길 61
서북동경로당,경상남도 창원시 마산합포구 진북면 학동로 614
서촌남성경로당,경상남도 창원시 마산합포구 진북면 지산1길 63-8
서촌여성경로당,경상남도 창원시 마산합포구 진북면 지산1길 63-8
성원아파트경로당,경상남도 창원시 마산합포구 진북면 지산2길 31
신촌경로당,경상남도 창원시 마산합포구 진북면 신촌마을길 2
연동경로당,경상남도 창원시 마산합포구 진북면 연동1길 41
영학(학동)경로당,경상남도 창원시 마산합포구 진북면 학동로 529
예곡경로당,경상남도 창원시 마산합포구 진북면 의림로 101
외추경로당,경상남도 창원시 마산합포구 진북면 추곡1길 94
이목남성경로당,경상남도 창원시 마산합포구 진북면 학동로 238
이목여성경로당,경상남도 창원시 마산합포구 진북면 학동로 238
인곡경로당,경상남도 창원시 마산합포구 진북면 의림로 244
인곡상경로당,경상남도 창원시 마산합포구 진북면 의림로 258-1
정곡경로당,경상남도 창원시 마산합포구 진북면 진북정곡길 267
정삼경로당,경상남도 창원시 마산합포구 진북면 정삼길 158
중촌경로당,경상남도 창원시 마산합포구 진북면 중촌길 6-3
 예곡경로당 ,경상남도 창원시 마산합포구 예곡길 194-4
 두릉경로당 ,경상남도 창원시 마산합포구 두릉길 192
 우산경로당 ,경상남도 창원시 마산합포구 우산길 19
 옥동경로당 ,경상남도 창원시 마산합포구 옥동길 79-10
 묘촌남성경로당 ,경상남도 창원시 마산합포구 묘촌1길 88
 묘촌여성경로당 ,경상남도 창원시 마산합포구 묘촌1길 88
 덕동남성경로당 ,경상남도 창원시 마산합포구 덕동길 126
 덕동여성경로당 ,경상남도 창원시 마산합포구 덕동길 126
 율곡경로당 ,경상남도 창원시 마산합포구 예곡길 63
 중흥1차경로당 ,경상남도 창원시 마산합포구 현동4길 20
 창원현동LH아파트경로당 ,경상남도 창원시 마산합포구 현동3길 1
 그린경로당 ,경상남도 창원시 마산합포구 묘촌1길 28
 현동중흥S클래스프라디움3차경로당 ,경상남도 창원시 마산합포구 현동1길 8
 현동 코오롱하늘채아파트 경로당 ,경상남도 창원시 마산합포구 현동9길 13
현동중흥2차아파트경로당,경상남도 창원시 마산합포구 현동9길 14
 상춘남성경로당 ,경상남도 창원시 마산합포구 완월북5길 28
 상춘여성경로당 ,경상남도 창원시 마산합포구 완월북5길 28
 완월남성경로당 ,경상남도 창원시 마산합포구 마산합포구 완월동5길 15
 완월여성경로당 ,경상남도 창원시 마산합포구 마산합포구 완월동5길 15
 학산남성경로당 ,경상남도 창원시 마산합포구 완월남1길 50
 확산여성경로당 ,경상남도 창원시 마산합포구 완월남1길 50
 서광1차아파트경로당 ,경상남도 창원시 마산합포구 고운로 168
 화인아파트경로당 ,경상남도 창원시 마산합포구 완월남8길 16
 청구제네스아파트경로당 ,경상남도 창원시 마산합포구 완월남로 45
 서광2차아파트경로당 ,경상남도 창원시 마산합포구 완월남로 54
 율티경로당 ,경상남도 창원시 마산합포구 진전면 미더덕로 24
 근곡경로당 ,경상남도 창원시 마산합포구 진전면 근곡1길 181
 신기경로당 ,경상남도 창원시 마산합포구 진전면 진전신기길 5
 임곡경로당 ,경상남도 창원시 마산합포구 진전면 임곡길 133
 진목경로당 ,경상남도 창원시 마산합포구 진전면 진목길 42
 대산경로당 ,경상남도 창원시 마산합포구 진전면 대산길 71
 봉곡경로당 ,경상남도 창원시 마산합포구 진전면 봉곡길 16-7
 도산경로당 ,경상남도 창원시 마산합포구 진전면 팔의사로 841-17
 곡안경로당 ,경상남도 창원시 마산합포구 진전면 곡안1길 18
 곡안부녀경로당 ,경상남도 창원시 마산합포구 진전면 곡안1길 18
 동산경로당 ,경상남도 창원시 마산합포구 진전면  동산1길 59
동산여성경로당,경상남도 창원시 마산합포구 진전면 동산1길 51
 양촌경로당 ,경상남도 창원시 마산합포구 진전면 팔의사로 390
 개양경로당 ,경상남도 창원시 마산합포구 진전면 개양길 11
 대정경로당 ,경상남도 창원시 마산합포구 진전면 의산삼일로 11
 봉암경로당 ,경상남도 창원시 마산합포구 진전면 팔의사로 209
 일암경로당 ,경상남도 창원시 마산합포구 진전면 일암1길 213
 대방경로당 ,경상남도 창원시 마산합포구 진전면 적석산길 616
 동대경로당 ,경상남도 창원시 마산합포구 진전면 오서로 19
 동대부녀경로당 ,경상남도 창원시 마산합포구 진전면 오서로 7-1
 문화마을경로당 ,경상남도 창원시 마산합포구 진전면 오서1길 14
 서대경로당 ,경상남도 창원시 마산합포구 진전면 대실로 120
 회동경로당 ,경상남도 창원시 마산합포구 진전면 탑동길 57
 탑동경로당 ,경상남도 창원시 마산합포구 진전면 탑동길 246
 월안경로당 ,경상남도 창원시 마산합포구 진전면 월안2길 11
 호산경로당 ,경상남도 창원시 마산합포구 진전며뉴 호산정달로 59
 이명경로당 ,경상남도 창원시 마산합포구 진전면 이명1길 94
 정달경로당 ,경상남도 창원시 마산합포구 진전면 호산정달로 151-29
 창포경로당 ,경상남도 창원시 마산합포구 진전면 회진로 1493-1
 창포여성경로당 ,경상남도 창원시 마산합포구 진전면 회진로 1493-1
 시락경로당 ,경상남도 창원시 마산합포구 진전면 회진로 1016-6
 정곡경로당 ,경상남도 창원시 마산합포구 진전면 진전정곡길 23-2
 소포경로당 ,경상남도 창원시 마산합포구 진전면 회진로 1140
 상평경로당 ,경상남도 창원시 마산합포구 진전면 상평음달길 2
 미천경로당 ,경상남도 창원시 마산합포구 진전면 미천1길 72-4
 상촌경로당 ,경상남도 창원시 마산합포구 진전면 금암상촌길 88
 의산경로당 ,경상남도 창원시 마산합포구 진전면 의산삼일로 65-1
 의산부녀경로당 ,경상남도 창원시 마산합포구 진전면 의산삼일로 65-1
 중촌경로당 ,경상남도 창원시 마산합포구 진전면 금암중촌길 43
 거락경로당 ,경상남도 창원시 마산합포구 진전면 거락2길 6
 원산경로당 ,경상남도 창원시 마산합포구 진전면 의산삼일로 248
 대량경로당 ,경상남도 창원시 마산합포구 진전면 대량1길 98
 옥방경로당 ,경상남도 창원시 마산합포구 진전면 옥방샛담길 55
 옥방내동경로당 ,경상남도 창원시 마산합포구 진전면 옥방내동길 195
 둔덕경로당 ,경상남도 창원시 마산합포구 진전면 둔덕안담길 27
 진동경로당 ,경상남도 창원시  마산합포구 성산길 56
 서촌1구경로당 ,경상남도 창원시  마산합포구 진동시장길 24-21
 고현경로당 ,경상남도 창원시  마산합포구 미더덕로 358-11
 광암경로당 ,경상남도 창원시  마산합포구 광암해안길 6
 동촌1구경로당 ,경상남도 창원시  마산합포구 문화마당길 11-14
 서촌2구 경로당 ,경상남도 창원시  마산합포구 서동촌길 2-9
 서촌3구경로당 ,경상남도 창원시  마산합포구 서촌바다길 46
 교동경로당 ,경상남도 창원시  마산합포구 교동3길 40-10
 입곡경로당 ,경상남도 창원시  마산합포구  입곡길 319-12
 죽전남성경로당 ,경상남도 창원시  마산합포구 죽전안담길 4
 죽전여성경로당 ,경상남도 창원시  마산합포구 죽전안담길 4
 신기경로당 ,경상남도 창원시  마산합포구 신기남산길 105
 성산남자경로당 ,경상남도 창원시  마산합포구 성산안길 3
 성산여자경로당 ,경상남도 창원시  마산합포구 성산안길 3
 혜창아파트경로당 ,경상남도 창원시  마산합포구 요장1길 29
 장기경로당 ,경상남도 창원시  마산합포구  미더덕로 311
 건우아파트경로당 ,경상남도 창원시  마산합포구 서촌바다길 108
 사동1구경로당 ,경상남도 창원시  마산합포구 사동길 110-5
 동전경로당 ,경상남도 창원시  마산합포구 동전길 353-21
 묵지경로당 ,경상남도 창원시  마산합포구 묵지길 155
 새모실경로당 ,경상남도 창원시  마산합포구 새무실길 18
 오산경로당 ,경상남도 창원시  마산합포구 오산3길 37-16
 태봉경로당 ,경상남도 창원시  마산합포구 태봉1길 85-29
 다구경로당 ,경상남도 창원시  마산합포구 다구1길 59-10
 야촌경로당 ,경상남도 창원시  마산합포구 교동1길 18
 도만경로당 ,경상남도 창원시  마산합포구 도만1길 42
 요장1구 경로당 ,경상남도 창원시  마산합포구 요장1길 83-5
 주도경로당 ,경상남도 창원시  마산합포구 주도2길 22-66
 동촌2구경로당 ,경상남도 창원시  마산합포구 동촌길 28
 한일유엔아이아파트경로당 ,경상남도 창원시  마산합포구 진북산업로 58
 양도경로당 ,경상남도 창원시  마산합포구 양도길 177-23
 협성엠파이어아파트경로당 ,경상남도 창원시  마산합포구 진북산업로 55
 동촌3구경로당 ,경상남도 창원시  마산합포구 동촌길 185
 송도경로당 ,경상남도 창원시  마산합포구 송도길 22-12
월영대내경로당,경상남도 창원시 마산합포구 월영북3길 29-36 (월영동)
새동네남성경로당,경상남도 창원시 마산합포구 월영서9길 5 (월영동)
새동네여성경로당,경상남도 창원시 마산합포구 월영서9길 5 (월영동)
월영남성경로당,경상남도 창원시 마산합포구 월영서3길 15 (월영동)
월영여성경로당,경상남도 창원시 마산합포구 월영서3길 15 (월영동)
해운경로당(남자),경상남도 창원시 마산합포구 가포로 63 (해운동)
해운경로당(여자),경상남도 창원시 마산합포구 가포로 63 (해운동)
대내주공아파트경로당,"경상남도 창원시 마산합포구 월영북15길 9 (대내동,대내주공아파트)"
월영라이프경로당,"경상남도 창원시 마산합포구 월영서3길 95 (월영동,월영라이프타운)"
화인아트빌라남자경로당,"경상남도 창원시 마산합포구 밤밭고개로 371 (월영동,화인아트빌라)"
화인아트빌라여자경로당,"경상남도 창원시 마산합포구 밤밭고개로 371 (월영동,화인아트빌라)"
월영SK오션뷰경로당,경상남도 창원시 마산합포구 월영남12길 12(월영동 월영SK오션뷰아파트)
두산1차아파트남자경로당,"경상남도 창원시 마산합포구 월영동6길 35 (해운동,두산1차아파트)"
두산1차아파트여자경로당,"경상남도 창원시 마산합포구 월영동6길 35 (해운동,두산1차아파트)"
대동씨코아경로당,"경상남도 창원시 마산합포구 월영동로 8 (해운동,대동씨코아아파트)"
평화골든타워경로당,"경상남도 창원시 마산합포구 월영동남로 18 (해운동,평화골든타워)"
한일비치맨션경로당,"경상남도 창원시 마산합포구 월영동남로 22 (해운동,한일비치맨션)"
해오름아파트경로당,"경상남도 창원시 마산합포구 월영동11길 57(해운동,해오름아파트)"
두산2차아파트남성경로당,"경상남도 창원시 마산합포구 월영동로 19 (해운동,두산2차아파트)"
두산2차아파트여성경로당,"경상남도 창원시 마산합포구 월영동로 19 (해운동,두산2차아파트)"
두산3차아파트남성경로당,"경상남도 창원시 마산합포구 월영동11길 42 (해운동,두산3차아파트)"
두산3차아파트여성경로당,"경상남도 창원시 마산합포구 월영동11길 42 (해운동,두산3차아파트)"
해운31통해운한백경로당,"경상남도 창원시 마산합포구 월영동13길 14 (해운동,해운한백아파트)"
경민시티빌경로당,"경상남도 창원시 마산합포구 해안대로 91 (해운동,경민시티빌아파트)"
해운동성아파트경로당,"경상남도 창원시 마산합포구 월영동16길 17 (해운동,해운동성아파트)"
동아1차아파트경로당,"경상남도 창원시 마산합포구 월영남로 43 (월영동,동아1차아파트)"
대동아파트경로당,"경상남도 창원시 마산합포구 월영남로 42 (월영동,대동아파트)"
월영현대아파트경로당,"경상남도 창원시 마산합포구 월영마을로 12 (월영동,월영현대아파트)"
현대산업1차아파트경로당,"경상남도 창원시 마산합포구 월영마을로 7 (월영동,현대산업1차아파트)"
동아2차아파트남성경로당,"경상남도 창원시 마산합포구 월영마을로 29 (월영동,동아2차아파트)"
동아2차아파트여성경로당,"경상남도 창원시 마산합포구 월영마을로 29 (월영동,동아2차아파트)"
현대산업2차아파트경로당,"경상남도 창원시 마산합포구 월영마을로 52 (월영동,현대산업2차아파트)"
월영현대3차경로당,"경상남도 창원시 마산합포구 월영마을로 32 (월영동,월영현대3차아파트)"
월영새동네경로당,경상남도 창원시 마산합포구 월영남10길 23-3 (월영동)
마린애시앙경로당,경상남도 창원시 마산합포구 가포순환로 33
산호남성경로당,경상남도 창원시 마산합포구 산호북10길 5-1(산호동)
산호여성경로당,경상남도 창원시 마산합포구 산호북10길 5-1(산호동)
산호중앙경로당,경상남도 창원시 마산합포구 산호남1길 31
산호현대남경로당,경상남도 창원시 마산합포구 산호서2길 46(산호동)
산호현대여경로당,경상남도 창원시 마산합포구 산호서2길 46(산호동)
가고파경로당,경상남도 창원시 마산합포구 산호북4길 60(산호동)
합포남성경로당,경상남도 창원시 마산합포구 산호동6길48(산호동)
합포여성경로당,경상남도 창원시 마산합포구 산호동6길48(산호동)
삼성타운경로당,경상남도 창원시 마산합포구 산호북1길 15(산호동)
대한아파트경로당,경상남도 창원시 마산합포구 산호북5길 26(산호동)
경동리인아파트경로당,경상남도 창원시 마산합포구 산호동4길 6(산호동)
자산남성경로당,"경상남도 창원시 마산합포구 자산동9길42, 2층(자산동)"
자산여성경로당,"경상남도 창원시 마산합포구 자산동9길42, 1층(자산동)"
상봉남성경로당,"경상남도 창원시 마산합포구 자산북4길18, 2층(자산동)"
상봉여성경로당,"경상남도 창원시 마산합포구 자산북4길18, 1층(자산동)"
학봉남성경로당,"경상남도 창원시 마산합포구 자산서5길51, 2층(자산동)"
학봉여성경로당,"경상남도 창원시 마산합포구 자산서5길51, 1층(자산 동) "
자산아파트경로당,경상남도 창원시 마산합포구 자산서14길26(자산동)
우성아파트경로당,경상남도 창원시 마산합포구 무학로378(자산동)
한우아파트1.2동경로당,경상남도 창원시 마산합포구 자산솔밭로52(자산동)
한우아파트3.5.6동경로당,경상남도 창원시 마산합포구 자산서11길6(자산동)
한우아파트9.10동경로당,경상남도 창원시 마산합포구 자산서12길3(자산동)
한우아파트11.12동경로당,경상남도 창원시 마산합포구 자산서13길29(자산동)
팔도아파트경로당,경상남도 창원시 마산합포구 자산삼거리로97(자산동)
 성호남성경로당 ,경상남도 창원시 마산합포구 성호서5길 13(성호동)
 성호여성경로당 ,경상남도 창원시 마산합포구 성호서5길 13(성호동)
 추산남성경로당 ,"경상남도 창원시 마산합포구 문신길 169(추산동,추산아파트)"
 추산여성경로당 ,"경상남도 창원시 마산합포구 문신길 169(추산동,추산아파트)"
 신추산남성경로당 ,경상남도 창원시 마산합포구 성호동2길 48(추산동)
 신추산여성경로당 ,경상남도 창원시 마산합포구 성호동2길 48(추산동)
 오동동남성경로당 ,경상남도 창원시 마산합포구 오동동10길 81-1(오동동)
 오동동여성경로당 ,경상남도 창원시 마산합포구 오동북17길 1(오동동)
 중성동여성경로당 ,경상남도 창원시 마산합포구 오동서17길 27(중성동)
 기산아파트여성경로당 ,"경상남도 창원시 마산합포구 오동동14길 29, 3층(오동동,기산아파트)"
 마린경로당 ,"경상남도 창원시 마산합포구 오동동14길67(오동동,중앙마린파이브아파트)"
 동서남성경로당 ,경상남도 창원시 마산합포구 어시장8길 77(남성동)
 동서여성경로당 ,경상남도 창원시 마산합포구 어시장8길 77(남성동)
 서성경로당 ,경상남도 창원시 마산합포구 동서북2길 11 (서성동)
 센트럴남성경로당 ,"경상남도 창원시 마산합포구 서성로 19 (신포동1가, 센트럴아파트)"
 센트럴여성경로당 ,"경상남도 창원시 마산합포구 서성로 19 (신포동1가, 센트럴아파트)"
 부림경로당 ,경상남도 창원시 마산합포구 동서서4길 6-26 (부림동)
 신포경남경로당 ,"경상남도 창원시 마산합포구 동서남1길 25 (신포동2가, 경남신포맨션아파트)"
 마산만아이파크경로당 ,"경상남도 창원시 마산합포구 제2부두로 17 (신포동1가, 마산만아이파크아파트)"
 신포새롬미리내경로당 ,"경상남도 창원시 마산합포구 동서동3길 39 (신포동1가, 새롬미리내아파트)"
 교방남성경로당 ,경상남도 창원시 마산합포구 교방동6길 15
 교방여성경로당 ,경상남도 창원시 마산합포구 교방동1길 84
 교방장수경로당 ,경상남도 창원시 마산합포구 교방서1길 35-1
 무학산블루밍경로당 ,경상남도 창원시 마산합포구 노산서18길 142
 무학자이아파트경로당 ,경상남도 창원시 마산합포구 노산서18길 19 
 북마산남성경로당 ,경상남도 창원시  마산합포구 노산북1길 12-2
 북마산여성경로당 ,경상남도 창원시  마산합포구 노산북1길 12-2
 서광경로당 ,경상남도 창원시  마산합포구 노산북6길 26
 회산여성경로당 ,경상남도 창원시  마산합포구 노산남8길 2-29
 교원경로당 ,경상남도 창원시  마산합포구 노산남9길 14
 상남경로당 ,경상남도 창원시  마산합포구 노산동2길 18
 회남여성경로당 ,경상남도 창원시  마산합포구 노산동2길 18
 롯데캐슬프리미어아파트경로당 ,경상남도 창원시  마산합포구 노산서18길 80
구복남성경로당,경상남도 창원시 마산합포구 구산면 구복길 49
 구복여성경로당 ,경상남도 창원시 마산합포구 구산면 구복길 74
 구산경로당 ,경상남도 창원시 마산합포구 구산면 해양관광로1432
 구산음달경로당 ,경상남도 창원시 마산합포구 구산면 구산로 566-1
 군령경로당 ,경상남도 창원시 마산합포구 구산면 석곡로 39
 난포경로당 ,경상남도 창원시 마산합포구 구산면 난포1길 36
 내포남성경로당 ,경상남도 창원시 마산합포구 구산면 내포2길 95
 내포여성경로당 ,경상남도 창원시 마산합포구 구산면 내포2길 110
 명주경로당 ,경상남도 창원시 마산합포구 구산면 해양관광로 933
 반동남성경로당 ,경상남도 창원시 마산합포구 구산면 반동길 88
 반동여성경로당 ,경상남도 창원시 마산합포구 구산면 반동길 90-1
 상마전경로당 ,경상남도 창원시 마산합포구 구산면 마전길 317-4
 석곡경로당 ,경상남도 창원시 마산합포구 구산면 아랫석곡길 26
 수정남성경로당 ,경상남도 창원시 마산합포구 구산면 구산로 566-1
 수정여성경로당 ,경상남도 창원시 마산합포구 구산면 구산로 566-1
 신촌경로당 ,경상남도 창원시 마산합포구 구산면 구산신촌2길 45
 실리도경로당 ,경상남도 창원시 마산합포구 구산면 실리섬길 13
 심리경로당 ,경상남도 창원시 마산합포구 구산면 심리1길 40-1
 안녕경로당 ,경상남도 창원시 마산합포구 구산면 안녕로 139
 양평경로당 ,경상남도 창원시 마산합포구 구산면 양평길 59-17
 옥계남성경로당 ,경상남도 창원시 마산합포구 구산면 옥계로 314-11
 옥계여성경로당 ,경상남도 창원시 마산합포구 구산면 옥계로 304
 용호경로당 ,경상남도 창원시 마산합포구 구산면 윗용호길 9
 욱곡남성경로당 ,경상남도 창원시 마산합포구 구산면 욱곡1길 19
 욱곡여성경로당 ,경상남도 창원시 마산합포구 구산면 욱곡1길 19
 원전경로당 ,경상남도 창원시 마산합포구 구산면 이순신로 701
 유산경로당 ,경상남도 창원시 마산합포구 구산면 유산1길 11
 유천경로당 ,경상남도 창원시 마산합포구 구산면 유천길 84 
 장구경로당 ,경상남도 창원시 마산합포구 구산면 장구길 24-35
 하마전경로당 ,경상남도 창원시 마산합포구 구산면 마전길 53
 가고파아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 상곡로 35,(가고파아파트)"
 감나무골경로당 ,경상남도 창원시  마산회원구 내서읍 감나무골길 187
 감천남성경로당 ,경상남도 창원시  마산회원구 내서읍 감천로 78
 감천여성경로당 ,경상남도 창원시  마산회원구 내서읍 감천로 78
 구미경로당 ,경상남도 창원시  마산회원구 내서읍 구미길 47
 구슬골경로당 ,경상남도 창원시  마산회원구 내서읍 윗구슬길 56-4
 국제아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 호계본동로 38,(호계국제아파트)"
 내서읍경로당 ,경상남도 창원시  마산회원구 내서읍 중리 상곡로 124
 대동다숲아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계2길 31,(삼계대동다숲아파트)"
 대동이미지1단지아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 광려로 28,(삼계대동이미지1차아파트)"
 대동이미지1단지아파트남성경로당 ,"경상남도 창원시  마산회원구 내서읍 광려로 28,(삼계대동이미지1차아파트)"
 대동이미지2단지경로당 ,"경상남도 창원시  마산회원구 내서읍 광려로 29,(삼계대동이미지2차아파트)"
 더푸른아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계10길 22,(삼계1주공아파트)"
 동신1차아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 중리상곡로 114,(동신아파트1차)"
 동신2차아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 중리상곡로 134,(동신2차아파트)"
 백로아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 중리상곡로 20-1,(중리백로아파트)"
 블루힐스아파트경로당 ,경상남도 창원시  마산회원구 내서읍 광려로 55 (삼계블루힐스아파트)
 삼계2주공아파트경로당 ,경상남도 창원시  마산회원구 내서읍 삼계2길 24(삼계2주공아파트)
 삼계남성경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계숲길 3-1,삼계회관"
 삼계대동아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계5길 30,(삼계대동아파트)"
 삼계여성경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계숲길 3-1,삼계회관"
 삼계현대아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 삼풍로 82,(삼계현대아파트)"
 삼계화성아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 삼계8길 31,(화성아파트)"
 삼정경로당 ,경상남도 창원시  마산회원구 내서읍 중리공단로 227-30
 상곡1주공아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 상곡로 43,상곡주공아파트1단지"
 상곡2주공아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 상곡로 67,상곡주공아파트2단지"
 상곡경로당 ,경상남도 창원시  마산회원구 내서읍 상곡안길 33-3
 상동경로당 ,경상남도 창원시  마산회원구 내서읍 상동길 7
 서광2차아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 호계안길 91, 서광2차아파트"
 서진아파트경로당 ,"경상남도 창원시  마산회원구 내서읍 경남대로 1019,(서진아파트)"
 수곡경로당 ,경상남도 창원시  마산회원구 내서읍 수곡로 92-1
