어린이집명,소재지도로명주소
무지개꼬마숲어린이집,경상남도 창원시 의창구 북면 감계로 297 105동 103호(창원감계지구휴먼빌아파트)
별하어린이집,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 204동 101호
아가별꽃어린이집,경상남도 창원시 의창구 감계로 277 109동 104호(창원감계아내에코프리미엄)
아이꽃어린이집,경상남도 창원시 의창구 북면 동곡로 35 205동 104호(창원무동지구휴멀빌아파트2단지)
재미난어린이집,경상남도 창원시 의창구 북면 감계로 341 힐스테이트2차 209동 101호
행복한어린이집,경상남도 창원시 의창구 북면 온천로 528
힐스도담어린이집,경상남도 창원시 의창구 북면 감계로 233 창원감계힐스테이트 4차 404동 103호
창원시립 유니시티1단지어린이집,"경상남도 창원시 의창구 중동로 34 (중동,창원중동유니시티1단지)"
창원시립 유니시티2단지어린이집,"경상남도 창원시 의창구 중동로 33 (중동, 창원중동유니시티2단지)"
창원시립 유니시티3단지어린이집,"경상남도 창원시 의창구 중동로 77 ,302동(중동,창원중동유니시티3단지)"
창원시립 유니시티4단지어린이집,"경상남도 창원시 의창구 중동로 78 403동(중동, 창원중동유니시티4단지)"
창원시립 의안어린이집,경상남도 창원시 의창구 중동남로 8 창원시립의안어린이집
다숲어린이집,경상남도 창원시 의창구 팔용로 512 대동다숲아파트 복리동 1층 (서상동)
소답어린이집,"경상남도 창원시 의창구 의안로56번길 20 국도아트빌상가 101, 102호 (소답동)"
오즈놀이스쿨어린이집,경상남도 창원시 의창구 의안로59번길 22 (북동)
창원어린이집,경상남도 창원시 의창구  의안로59번길 6 (소답동) 1층
코끼리영재어린이집,경상남도 창원시 의창구 의안로44번길 27-2
큰별예나어린이집,경상남도 창원시 의창구 의안로32번길 7 1층 (소답동)
아이도담어린이집,경상남도 창원시 의창구 의안로27번길 2 에이스빌라 101호 (중동)
행복어린이집,경상남도 창원시 의창구 금강로379번길 49-6
창원시립 힐스아티움어린이집,"경상남도 창원시 의창구 창원대로397번길 11 103동 1층(팔용동,힐스테이트 아티움시티)"
세계어린이집,경상남도 창원시 의창구 남산로9번길 45 (팔용동)
보광어린이집,경상남도 창원시 의창구 의창대로180번길 5 (팔용동) 198-4
예명산새소리어린이집,경상남도 창원시 의창구 반계로 101 대동중앙아파트 복지관 2층
